id,count
0,[38196.85756483]
1,[38135.94933621]
2,[37932.53350891]
3,[37849.62782742]
4,[37965.33158774]
5,[37914.51406898]
6,[37822.85622058]
7,[37735.14235881]
8,[37571.23931133]
9,[37387.23613335]
10,[37366.76036728]
11,[37186.74028751]
12,[37119.59948463]
13,[37193.12968195]
14,[36875.802496]
15,[36537.46469515]
16,[36279.34973159]
17,[36155.83315504]
18,[35991.15662582]
19,[36139.30952696]
20,[36086.52782973]
21,[36142.7844739]
22,[36248.4929476]
23,[38238.27230357]
24,[38210.19154355]
25,[38152.12821413]
26,[38044.9044102]
27,[37927.59774863]
28,[37971.51166425]
29,[37935.70311639]
30,[37844.5801916]
31,[37781.63524488]
32,[37584.88610781]
33,[37456.6108574]
34,[37165.88133276]
35,[37100.07323976]
36,[36711.85091428]
37,[36496.7036356]
38,[36426.59880402]
39,[36176.05009676]
40,[35823.76479652]
41,[35888.27742165]
42,[36250.56937554]
43,[36508.58181145]
44,[36636.96796522]
45,[36778.94363161]
46,[37049.93677082]
47,[38484.4080593]
48,[38601.66132573]
49,[38528.69977921]
50,[38407.66652552]
51,[38330.83794419]
52,[38342.09766369]
53,[38370.46790915]
54,[38169.90774983]
55,[38259.55856903]
56,[38208.63171736]
57,[38274.30908949]
58,[37947.91377797]
59,[37771.00131048]
60,[37576.88184681]
61,[37350.47686778]
62,[37659.21095049]
63,[37324.07730693]
64,[37176.41752564]
65,[36850.83839702]
66,[37168.62407824]
67,[37162.01556927]
68,[37575.1853171]
69,[37950.16385229]
70,[37892.30355903]
71,[39345.96060487]
72,[39305.66155539]
73,[39294.02552727]
74,[39214.2042753]
75,[39045.14702606]
76,[39059.66108232]
77,[38900.14750447]
78,[39083.52018601]
79,[38641.83900221]
80,[37318.1138771]
81,[36600.04851422]
82,[35880.55793475]
83,[35874.72096317]
84,[35549.59075758]
85,[35340.65578693]
86,[34888.43048324]
87,[34784.16180883]
88,[34892.62626462]
89,[35132.43499502]
90,[35630.55671467]
91,[36543.17655459]
92,[36848.4899829]
93,[37092.58535616]
94,[37409.77860555]
95,[39443.91362099]
96,[39539.39767262]
97,[39407.7155279]
98,[39355.99545175]
99,[39370.74238262]
100,[39470.88145872]
101,[39480.86261133]
102,[39316.6865307]
103,[39012.66513024]
104,[37723.45024334]
105,[36857.77557777]
106,[36496.30810771]
107,[36397.3705719]
108,[36341.47490582]
109,[35973.11333009]
110,[35450.12906692]
111,[35462.29927083]
112,[35277.01004765]
113,[35586.54161749]
114,[36324.71795442]
115,[36637.25401063]
116,[37074.75466882]
117,[37492.17501404]
118,[37480.80573727]
119,[39598.13524659]
120,[39485.69539526]
121,[39416.59579829]
122,[39311.51056706]
123,[39208.24750117]
124,[39390.63738303]
125,[39284.98312708]
126,[39402.98190638]
127,[38949.79212487]
128,[37837.4775906]
129,[37078.77538292]
130,[36680.83267355]
131,[36455.09603121]
132,[36458.03448409]
133,[36177.096836]
134,[35806.8587276]
135,[35372.22615139]
136,[35654.31628204]
137,[35695.69467619]
138,[36419.44587399]
139,[36872.11950244]
140,[37289.60191764]
141,[37522.46598898]
142,[37777.28264332]
143,[39574.8571329]
144,[39596.0608378]
145,[39518.60475136]
146,[39400.92365074]
147,[39426.04614036]
148,[39448.17842718]
149,[39224.373657]
150,[39170.54753881]
151,[38754.02152484]
152,[37787.22131912]
153,[37028.67421161]
154,[36891.67154749]
155,[36792.93727218]
156,[36589.87629076]
