1d,7d
45473.5373,43922.2281
45881.6978,43763.4929
46043.409,43561.5708
46196.884,43928.9929
46486.5784,44150.2973
46610.2259,44547.9317
46836.0743,45348.3932
46891.6337,45178.6128
46474.4858,45455.4749
45999.4882,44661.6897
45275.4259,44513.9113
45284.232,44255.6104
43202.8874,44359.652
41948.5652,44119.7113
42154.5263,43243.8835
41758.0223,43498.6188
41066.4502,43685.3524
40789.6192,43433.434
40456.9303,43708.376
40780.983,43819.0265
41455.0618,44407.7706
42276.5449,45155.5233
43217.2789,45558.9485
44346.368,46412.9566
45343.5803,46765.7221
45360.8773,46885.2286
45406.4553,46755.7973
45714.8724,46884.477
45893.9595,47254.1762
46077.6202,47367.6296
45956.3262,47407.3461
45986.5477,46769.2059
46067.0459,43585.4447
45514.7617,42301.5631
45593.7857,41179.432
45413.5072,40516.6722
45690.3579,39917.0812
45024.8393,40008.9554
44008.5865,39078.9738
43358.7057,38425.9296
42910.526,39488.8975
43058.4161,39057.3079
43715.4437,40374.213
44166.2116,41324.4436
44440.0732,42835.2063
45145.0191,44342.8644
45780.2295,45370.0579
47063.8276,46597.8178
47624.4334,46717.8662
47477.7608,46782.8296
47356.0664,46940.8018
47449.2047,46964.5325
47715.7001,47439.9548
47845.1175,47508.1101
47818.6406,47495.3731
48032.9246,46888.6301
45152.4765,43958.2713
43226.4605,42528.9485
42236.671,42253.7884
41375.0924,40852.4952
40912.5685,40704.1184
40088.7038,39856.3959
40471.4906,39434.3024
39808.2376,38926.1639
39752.015,39749.9063
40559.8801,39747.6968
41260.1601,39968.4063
42134.7238,41101.0666
43384.9226,42339.1574
44662.4208,44089.8865
45542.57,45123.3836
46573.2623,46543.3428
46930.141,47086.7516
46997.3777,47211.0277
46939.4629,47495.5697
47182.6315,47627.5846
47368.2774,47753.3066
47177.114,47852.6187
47634.9301,48058.8324
47848.5172,46909.1183
45003.161,44045.5501
43694.5583,42299.458
43346.6903,41640.3235
41521.8093,41182.1072
41544.4429,41049.5119
40762.6401,39837.2119
39427.8581,38871.3802
39213.6393,38261.3435
39602.6114,39475.1703
39497.7352,40212.4995
40526.2942,40652.0822
40751.9917,41439.4426
41845.631,42180.709
43564.2337,43812.296
45058.6396,45015.6473
46518.112,45911.5922
46914.9958,46271.3673
46977.7567,46610.9617
47090.3631,46728.5045
46992.4299,46907.1853
47195.3218,47240.7169
47517.2386,47232.1649
47702.8014,47168.3617
47886.3163,46699.6937
44831.8564,43858.5153
43861.8249,42668.34
44431.119,42160.8189
43058.0773,40948.6423
42256.0437,40712.8368
41790.9426,39773.2054
41190.8087,39268.6282
40303.2519,39373.0617
40938.5599,39831.1275
41482.6974,40501.0855
