,연도,월,요일,노선명,전염병,승하차총승객수
0,2015,1,1,1,0,1523784.0
1,2015,1,1,2,0,7470992.0
2,2015,1,1,3,0,2751049.0
3,2015,1,1,4,0,3127658.0
4,2015,1,1,5,0,2695204.0
5,2015,1,1,6,0,1651249.0
6,2015,1,1,7,0,3425980.0
7,2015,1,1,8,0,809203.0
8,2015,1,1,9,0,1166232.0
22,2015,1,2,1,0,2761000.0
23,2015,1,2,2,0,13262915.0
24,2015,1,2,3,0,4998646.0
25,2015,1,2,4,0,5507940.0
26,2015,1,2,5,0,4746162.0
27,2015,1,2,6,0,2856867.0
28,2015,1,2,7,0,5896717.0
29,2015,1,2,8,0,1348698.0
30,2015,1,2,9,0,1969459.0
44,2015,1,3,1,0,3419964.0
45,2015,1,3,2,0,17981680.0
46,2015,1,3,3,0,6383778.0
47,2015,1,3,4,0,6680249.0
48,2015,1,3,5,0,6638361.0
49,2015,1,3,6,0,3686786.0
50,2015,1,3,7,0,7960570.0
51,2015,1,3,8,0,1781068.0
52,2015,1,3,9,0,2919210.0
66,2015,1,4,1,0,2957132.0
67,2015,1,4,2,0,15582591.0
68,2015,1,4,3,0,5466568.0
69,2015,1,4,4,0,5878864.0
70,2015,1,4,5,0,5841252.0
71,2015,1,4,6,0,3233218.0
72,2015,1,4,7,0,6999711.0
73,2015,1,4,8,0,1572224.0
74,2015,1,4,9,0,2504695.0
88,2015,1,5,1,0,2623137.0
89,2015,1,5,2,0,14171018.0
90,2015,1,5,3,0,4964503.0
91,2015,1,5,4,0,5268352.0
92,2015,1,5,5,0,5357577.0
93,2015,1,5,6,0,2933352.0
94,2015,1,5,7,0,6396041.0
95,2015,1,5,8,0,1431909.0
96,2015,1,5,9,0,2293514.0
110,2015,1,6,1,0,2650724.0
111,2015,1,6,2,0,14173418.0
112,2015,1,6,3,0,4977009.0
113,2015,1,6,4,0,5294212.0
114,2015,1,6,5,0,5361374.0
115,2015,1,6,6,0,2932312.0
116,2015,1,6,7,0,6442443.0
117,2015,1,6,8,0,1429632.0
118,2015,1,6,9,0,2311655.0
132,2015,1,7,1,0,2612228.0
133,2015,1,7,2,0,13956606.0
134,2015,1,7,3,0,4911862.0
135,2015,1,7,4,0,5134758.0
136,2015,1,7,5,0,5290064.0
137,2015,1,7,6,0,2874213.0
138,2015,1,7,7,0,6375524.0
139,2015,1,7,8,0,1420409.0
140,2015,1,7,9,0,2293025.0
154,2015,2,1,1,0,1479780.0
155,2015,2,1,2,0,7335075.0
156,2015,2,1,3,0,2694004.0
157,2015,2,1,4,0,3057990.0
158,2015,2,1,5,0,2629501.0
159,2015,2,1,6,0,1620113.0
160,2015,2,1,7,0,3339399.0
161,2015,2,1,8,0,787912.0
162,2015,2,1,9,0,1126477.0
176,2015,2,2,1,0,2137612.0
177,2015,2,2,2,0,10361587.0
178,2015,2,2,3,0,3929927.0
179,2015,2,2,4,0,4285068.0
180,2015,2,2,5,0,3694575.0
181,2015,2,2,6,0,2240394.0
182,2015,2,2,7,0,4617022.0
183,2015,2,2,8,0,1055434.0
184,2015,2,2,9,0,1547591.0
198,2015,2,3,1,0,2462351.0
199,2015,2,3,2,0,12704553.0
200,2015,2,3,3,0,4540668.0
201,2015,2,3,4,0,4871027.0
202,2015,2,3,5,0,4695836.0
203,2015,2,3,6,0,2668263.0
204,2015,2,3,7,0,5687908.0
205,2015,2,3,8,0,1272004.0
206,2015,2,3,9,0,2033789.0
220,2015,2,4,1,0,2300353.0
221,2015,2,4,2,0,11855219.0
222,2015,2,4,3,0,4261699.0
223,2015,2,4,4,0,4600996.0
224,2015,2,4,5,0,4509398.0
225,2015,2,4,6,0,2506667.0
226,2015,2,4,7,0,5429632.0
227,2015,2,4,8,0,1199986.0
228,2015,2,4,9,0,1914397.0
242,2015,2,5,1,0,2353353.0
243,2015,2,5,2,0,12080108.0
244,2015,2,5,3,0,4336814.0
245,2015,2,5,4,0,4648249.0
246,2015,2,5,5,0,4577597.0
247,2015,2,5,6,0,2572482.0
248,2015,2,5,7,0,5519738.0
249,2015,2,5,8,0,1242815.0
250,2015,2,5,9,0,1967710.0
264,2015,2,6,1,0,2655206.0
265,2015,2,6,2,0,14048505.0
266,2015,2,6,3,0,5031324.0
267,2015,2,6,4,0,5280401.0
268,2015,2,6,5,0,5293933.0
269,2015,2,6,6,0,2915588.0
270,2015,2,6,7,0,6412371.0
271,2015,2,6,8,0,1430984.0
272,2015,2,6,9,0,2299959.0
286,2015,2,7,1,0,2551985.0
287,2015,2,7,2,0,13876059.0
288,2015,2,7,3,0,4919233.0
289,2015,2,7,4,0,5107788.0
290,2015,2,7,5,0,5238825.0
291,2015,2,7,6,0,2856265.0
292,2015,2,7,7,0,6358851.0
293,2015,2,7,8,0,1412810.0
294,2015,2,7,9,0,2274693.0
308,2015,3,1,1,0,2049313.0
309,2015,3,1,2,0,10370547.0
310,2015,3,1,3,0,3801080.0
311,2015,3,1,4,0,4313346.0
312,2015,3,1,5,0,3820018.0
313,2015,3,1,6,0,2306933.0
314,2015,3,1,7,0,4783102.0
315,2015,3,1,8,0,1108507.0
316,2015,3,1,9,0,1608218.0
331,2015,3,2,1,0,2434901.0
332,2015,3,2,2,0,12144272.0
333,2015,3,2,3,0,4573742.0
334,2015,3,2,4,0,5022854.0
335,2015,3,2,5,0,4425347.0
336,2015,3,2,6,0,2690754.0
337,2015,3,2,7,0,5402584.0
338,2015,3,2,8,0,1215242.0
339,2015,3,2,9,0,1837219.0
354,2015,3,3,1,0,2826323.0
355,2015,3,3,2,0,15489420.0
356,2015,3,3,3,0,5517970.0
357,2015,3,3,4,0,5969571.0
358,2015,3,3,5,0,5770080.0
359,2015,3,3,6,0,3375497.0
360,2015,3,3,7,0,7051736.0
361,2015,3,3,8,0,1566894.0
362,2015,3,3,9,0,2490965.0
